norte,oeste,sul,quartos,area,preco
1,0,0,1.3862943611198906,5.707110264748875,7.3783837129967145
0,0,1,1.3862943611198906,5.017279836814924,8.294299608857235
1,0,0,1.6094379124341003,5.993961427306569,8.699681400989514
0,0,0,1.0986122886681096,4.02535169073515,6.85751406254539
0,0,1,1.6094379124341003,6.206575926724928,8.517393171418904
0,0,1,1.0986122886681096,4.51085950651685,7.313886831633462
0,0,1,1.6094379124341003,6.7464121285733745,10.968215530759236
1,0,0,0.6931471805599453,3.828641396489095,6.55250788703459
0,0,0,1.3862943611198906,5.303304908059076,8.160803920954665
0,0,0,1.0986122886681096,4.1588830833596715,7.0909098220799835
0,0,1,1.6094379124341003,5.707110264748875,9.61587214452889
0,1,0,0.6931471805599453,3.828641396489095,6.621405651764134
0,0,0,1.0986122886681096,4.394449154672439,7.170888478512505
0,1,0,1.0986122886681096,4.5217885770490405,7.783640596221253
0,0,1,1.3862943611198906,4.948759890378168,7.937731775260109
0,1,0,1.3862943611198906,5.3981627015177525,7.937731775260109
1,0,0,1.0986122886681096,3.713572066704308,7.313886831633462
0,1,0,0.6931471805599453,3.713572066704308,7.00397413672268
0,0,1,0.6931471805599453,3.258096538021482,6.398594934535208
0,0,0,0.6931471805599453,3.58351893845611,6.68586094706836
0,0,0,0.6931471805599453,2.3978952727983707,6.55250788703459
0,1,0,1.0986122886681096,4.795790545596741,7.696667081526462
0,0,1,0.6931471805599453,3.258096538021482,6.398594934535208
0,0,0,1.0986122886681096,4.61512051684126,7.313886831633462
0,1,0,1.3862943611198906,5.081404364984463,8.517393171418904
0,1,0,1.0986122886681096,4.2626798770413155,7.00397413672268
0,0,1,1.0986122886681096,4.51085950651685,7.783640596221253
0,0,1,1.0986122886681096,3.9318256327243257,6.90875477931522
0,1,0,1.0986122886681096,4.875197323201151,8.699681400989514
0,0,1,1.0986122886681096,4.795790545596741,8.160803920954665
0,0,1,1.6094379124341003,6.2166061010848646,9.852246888342531
0,0,0,1.3862943611198906,4.61512051684126,7.824445930877619
0,1,0,0.6931471805599453,3.58351893845611,7.00397413672268
0,0,0,1.3862943611198906,4.394449154672439,7.438971592395862
0,1,0,0.6931471805599453,3.58351893845611,7.0909098220799835
0,0,0,1.0986122886681096,4.394449154672439,7.1316985104669115
0,0,1,0.6931471805599453,3.58351893845611,6.846943139585379
1,0,0,1.3862943611198906,4.2626798770413155,6.90875477931522
1,0,0,1.0986122886681096,3.9318256327243257,6.803505257608338
0,0,1,1.9459101490553132,5.5254529391317835,9.798182590890704
0,0,0,1.3862943611198906,4.624972813284271,8.006700845440367
0,0,0,1.0986122886681096,4.795790545596741,8.006700845440367
0,0,1,1.6094379124341003,5.288267030694535,8.682877107057168
0,0,0,1.0986122886681096,4.51085950651685,7.208600337960199
0,0,1,1.0986122886681096,4.844187086458591,8.556606193773073
0,0,1,0.6931471805599453,3.6109179126442243,6.55250788703459
0,1,0,1.3862943611198906,5.3612921657094255,8.682877107057168
1,0,0,1.0986122886681096,3.9318256327243257,7.0909098220799835
0,0,0,1.3862943611198906,5.638354669333745,9.680406499268875
0,0,0,0.6931471805599453,2.3978952727983707,6.7464121285733745
0,0,1,1.3862943611198906,5.860786223465865,9.210440366976517
1,0,0,1.0986122886681096,4.795790545596741,7.824445930877619
0,0,0,1.3862943611198906,5.198497031265826,8.412054873292933
0,0,0,1.0986122886681096,4.2626798770413155,7.208600337960199
0,0,1,1.791759469228055,5.303304908059076,8.343077871169383
0,1,0,1.0986122886681096,4.394449154672439,7.170888478512505
1,0,0,1.3862943611198906,4.394449154672439,7.824445930877619
0,0,0,1.0986122886681096,4.07753744390572,6.90875477931522
0,0,1,1.6094379124341003,6.621405651764134,10.165890277802454
1,0,0,1.3862943611198906,5.017279836814924,7.696667081526462
0,0,0,0.6931471805599453,3.258096538021482,6.373319789577012
0,0,0,1.3862943611198906,4.2626798770413155,7.0909098220799835
1,0,0,1.3862943611198906,4.394449154672439,7.650168700845001
0,1,0,0.6931471805599453,3.713572066704308,6.90875477931522
0,0,0,0.6931471805599453,2.3978952727983707,6.7464121285733745
1,0,0,1.3862943611198906,5.0369526024136295,7.824445930877619
0,1,0,1.0986122886681096,4.2626798770413155,7.550135342488429
0,1,0,1.791759469228055,6.3473892096560105,9.90353755128617
0,0,0,1.3862943611198906,5.303304908059076,8.517393171418904
1,0,0,1.6094379124341003,5.081404364984463,7.972810784121404
0,1,0,1.9459101490553132,5.932245187448011,9.305741456739435
0,0,0,0.6931471805599453,4.189654742026425,7.048386408721883
0,1,0,1.6094379124341003,5.351858133476067,9.472781556562168
1,0,0,1.3862943611198906,5.198497031265826,7.824445930877619
0,0,1,1.3862943611198906,5.5254529391317835,7.438971592395862
0,0,1,0.6931471805599453,5.081404364984463,9.210440366976517
0,1,0,0.6931471805599453,3.258096538021482,5.707110264748875
0,1,0,0.6931471805599453,4.394449154672439,6.803505257608338
1,0,0,1.6094379124341003,5.993961427306569,8.699681400989514
1,0,0,1.0986122886681096,5.017279836814924,8.071218539969863
0,1,0,1.3862943611198906,5.198497031265826,7.890208213109961
0,0,1,0.6931471805599453,3.713572066704308,6.7464121285733745
0,0,0,0.6931471805599453,3.58351893845611,6.55250788703459
0,0,0,1.3862943611198906,2.3978952727983707,7.313886831633462
0,0,0,1.3862943611198906,4.795790545596741,7.438971592395862
1,0,0,1.3862943611198906,5.062595033026967,7.762596048540069
0,0,0,1.0986122886681096,4.394449154672439,7.824445930877619
0,0,1,1.3862943611198906,5.351858133476067,9.392745258631441
0,1,0,1.0986122886681096,4.110873864173311,6.85751406254539
0,1,0,1.3862943611198906,5.8888779583328805,9.546884034617925
0,0,0,1.3862943611198906,4.948759890378168,7.696667081526462
1,0,0,1.0986122886681096,4.51085950651685,7.170888478512505
0,0,1,1.3862943611198906,5.351858133476067,9.392745258631441
0,1,0,1.6094379124341003,6.19644412779452,9.305741456739435
0,0,1,1.0986122886681096,4.976733742420574,8.006700845440367
1,0,0,1.0986122886681096,3.9318256327243257,6.803505257608338
0,0,0,0.6931471805599453,3.713572066704308,6.68586094706836
0,0,0,1.3862943611198906,5.198497031265826,8.517393171418904
0,0,1,0.6931471805599453,3.828641396489095,7.8636512654486515
